"product_code","fiscal_year","gross_price"
"A0118150101","2020",16.2323
"A0118150101","2021",19.0573
"A0118150102","2020",19.8577
"A0118150102","2021",21.4565
"A0118150103","2020",22.1317
"A0118150103","2021",21.7795
"A0118150104","2020",20.7734
"A0118150104","2021",22.9729
"A0219150201","2020",22.2298
"A0219150201","2021",23.6987
"A0219150202","2020",24.1562
"A0219150202","2021",24.7312
"A0220150203","2020",23.9193
"A0220150203","2021",23.6154
"A0320150301","2020",22.2856
"A0320150301","2021",23.7223
"A0321150302","2021",27.1027
"A0321150303","2021",28.0059
"A0418150101","2020",17.4708
"A0418150102","2020",17.0422
"A0418150103","2020",17.4436
"A0418150103","2021",19.5235
"A0418150104","2020",19.0484
"A0418150104","2021",19.9239
"A0418150105","2020",18.5592
"A0418150105","2021",20.0766
"A0418150106","2020",17.7022
"A0418150106","2021",19.9365
"A0418150107","2020",20.8163
"A0418150108","2020",19.1964
"A0519150201","2020",21.9777
"A0519150201","2021",22.3984
"A0519150202","2020",24.1658
"A0519150202","2021",24.9298
"A0519150203","2020",24.3127
"A0519150203","2021",26.5871
"A0519150204","2020",24.7823
"A0519150204","2021",26.1081
"A0519150205","2020",27.2201
"A0519150205","2021",29.7008
"A0519150206","2020",26.4794
"A0519150206","2021",31.2439
"A0519150207","2020",27.4563
"A0519150207","2021",32.4427
"A0519150208","2020",29.7525
"A0519150208","2021",30.5816
"A0619150301","2020",29.3716
"A0619150301","2021",30.4696
"A0619150302","2020",31.6222
"A0619150302","2021",34.0973
"A0620150303","2020",33.5635
"A0620150303","2021",34.2412
"A0620150304","2020",33.2821
"A0620150304","2021",37.5826
"A0620150305","2020",33.4988
"A0620150305","2021",36.5679
"A0620150306","2020",35.1332
"A0620150306","2021",37.5278
"A0621150307","2020",36.2515
"A0621150307","2021",36.2434
"A0621150308","2020",38.0905
"A0621150308","2021",39.399
"A0721150401","2020",36.3186
"A0721150401","2021",39.3377
"A0721150402","2020",38.6769
"A0721150402","2021",39.1465
"A0721150403","2021",39.299
"A0721150404","2021",39.1215
"A0821150501","2021",40.5013
"A0821150502","2021",43.2966
"A0821150503","2021",42.3841
"A0821150504","2021",44.7044
"A0921150601","2021",45.0813
"A1018150101","2020",106.021
"A1018150101","2021",111.1036
"A1018150102","2020",117.1501
"A1018150102","2021",123.4797
"A1018150103","2020",116.0312
"A1018150103","2021",123.9315
"A1118150201","2020",121.9321
"A1118150201","2021",124.264
"A1118150202","2020",129.9138
"A1118150202","2021",129.5836
"A1119150203","2020",121.8916
"A1119150203","2021",139.8962
"A1219150301","2020",129.2191
"A1219150301","2021",135.6822
"A1219150302","2020",137.8678
"A1219150302","2021",145.1474
"A1219150303","2020",141.0602
"A1219150303","2021",142.9402
"A1319150401","2020",145.2439
"A1319150401","2021",149.1034
"A1320150402","2020",156.5957
"A1320150402","2021",150.245
"A1320150403","2020",145.2111
"A1320150403","2021",160.6912
"A1420150501","2020",145.5416
"A1420150501","2021",160.5082
"A1420150502","2021",169.4999
"A1421150503","2021",176.4389
"A1521150601","2021",186.2917
"A1521150602","2021",185.4599
"A1618150101","2020",18.5376
"A1618150101","2021",19.6485
"A1618150102","2020",17.8567
"A1618150102","2021",20.4629
"A1618150103","2020",19.9124
"A1618150103","2021",21.2017
"A1618150104","2020",22.8704
"A1618150104","2021",21.4489
"A1718150201","2020",22.1241
"A1718150201","2021",21.8879
"A1718150202","2020",23.2801
"A1718150202","2021",22.8957
"A1718150203","2020",24.464
"A1718150203","2021",27.3445
"A1718150204","2020",28.0623
"A1718150204","2021",28.3991
"A1819150301","2020",28.0857
"A1819150301","2021",28.8615
"A1819150302","2020",29.5991
"A1819150302","2021",31.9525
"A1819150303","2020",30.7387
"A1819150303","2021",32.1924
"A1819150304","2020",30.7681
"A1819150304","2021",32.2612
"A1919150401","2021",33.7609
"A1919150402","2021",35.0256
"A1919150403","2021",35.835
"A1920150404","2021",38.978
"A2020150501","2021",41.3696
"A2020150502","2021",39.3932
"A2021150503","2021",45.4377
"A2118150101","2020",2.9168
"A2118150101","2021",2.9434
"A2118150102","2020",3.5117
"A2118150102","2021",3.9998
"A2118150103","2020",4.3084
"A2118150103","2021",4.5295
"A2118150104","2020",4.6297
"A2118150104","2021",5.0459
"A2118150105","2020",4.8381
"A2118150105","2021",4.6904
"A2118150106","2020",5.2675
"A2118150106","2021",5.2542
"A2218150201","2020",5.2821
"A2218150201","2021",5.4383
"A2218150202","2020",5.8735
"A2218150202","2021",6.4054
"A2219150203","2020",6.856
"A2219150203","2021",6.7301
"A2219150204","2020",7.4345
"A2219150204","2021",7.3526
"A2219150205","2020",6.8929
"A2219150205","2021",7.9813
"A2219150206","2020",8.131
"A2219150206","2021",8.3193
"A2319150301","2020",8.6406
"A2319150301","2021",8.8044
"A2319150302","2020",7.9085
"A2319150302","2021",8.9901
"A2319150303","2020",9.1892
"A2319150303","2021",9.3977
"A2319150304","2020",10.0752
"A2319150304","2021",10.4573
"A2319150305","2020",9.7363
"A2319150305","2021",10.437
"A2319150306","2020",10.4922
"A2319150306","2021",10.8659
"A2419150401","2020",10.0514
"A2419150401","2021",11.4829
"A2419150402","2020",10.4117
"A2419150402","2021",11.2819
"A2419150403","2020",10.6763
"A2419150403","2021",10.8925
"A2419150404","2020",11.2117
"A2419150404","2021",11.6332
"A2419150405","2020",11.9431
"A2419150405","2021",12.7423
"A2420150406","2020",11.4307
"A2420150406","2021",12.2979
"A2520150501","2021",12.0689
"A2520150502","2021",14.5267
"A2520150503","2021",14.1682
"A2520150504","2021",14.28
"A2520150505","2021",15.1762
"A2520150506","2021",14.5677
"A2620150601","2021",14.9013
"A2620150602","2021",15.8102
"A2620150603","2021",15.9792
"A2620150604","2021",16.5491
"A2620150605","2021",16.5882
"A2620150606","2021",16.785
"A2720150701","2021",17.0917
"A2721150702","2021",17.2368
"A2721150703","2021",16.9353
"A2721150704","2021",19.586
"A2721150705","2021",19.4042
"A2721150706","2021",20.0537
"A2821150801","2021",21.7118
"A2918150101","2020",6.6247
"A2918150101","2021",6.8991
"A2918150102","2020",7.7183
"A2918150102","2021",7.5979
"A2918150103","2020",7.4447
"A2918150103","2021",7.7693
"A2918150104","2020",9.2172
"A2918150104","2021",8.9514
"A2918150105","2020",9.0206
"A2918150105","2021",9.465
"A2918150106","2020",9.7651
"A2918150106","2021",10.4188
"A3018150201","2020",10.1318
"A3018150201","2021",10.7955
"A3018150202","2020",10.7548
"A3018150202","2021",11.0524
"A3018150203","2020",11.4191
"A3018150203","2021",12.3739
"A3019150204","2020",10.5568
"A3019150204","2021",11.6011
"A3019150205","2020",11.4364
"A3019150205","2021",12.0509
"A3019150206","2020",12.8819
"A3019150206","2021",13.0018
"A3119150301","2020",12.9355
"A3119150301","2021",13.5061
"A3119150302","2020",14.0538
"A3119150302","2021",15.3071
"A3119150303","2020",14.8815
"A3119150303","2021",16.2407
"A3120150304","2020",14.0641
"A3120150304","2021",16.3792
"A3120150305","2020",16.1161
"A3120150305","2021",16.3218
"A3120150306","2020",16.6688
"A3120150306","2021",19.3003
"A3220150401","2020",16.3836
"A3220150401","2021",18.4943
"A3220150402","2020",19.5757
"A3220150402","2021",18.7947
"A3220150403","2020",18.6726
"A3220150403","2021",18.5844
"A3220150404","2020",18.2513
"A3220150404","2021",18.4219
"A3220150405","2020",18.1401
"A3220150405","2021",18.9415
"A3220150406","2020",19.4804
"A3220150406","2021",20.0066
"A3320150501","2020",18.179
"A3320150501","2021",20.3908
"A3320150502","2020",20.9546
"A3320150502","2021",21.6988
"A3320150503","2020",18.8626
"A3320150503","2021",20.8733
"A3320150504","2020",21.1391
"A3320150504","2021",22.1341
"A3320150505","2021",23.0844
"A3320150506","2021",23.7678
"A3420150601","2021",24.569
"A3420150602","2021",23.9726
"A3421150603","2021",26.9507
"A3421150604","2021",27.4152
"A3421150605","2021",29.8692
"A3421150606","2021",29.6709
"A3521150701","2021",29.3872
"A3521150702","2021",30.3414
"A3521150703","2021",31.7665
"A3521150704","2021",33.6246
"A3521150705","2021",34.5114
"A3718150101","2020",15.4679
"A3718150101","2021",16.5127
"A3718150102","2020",16.6587
"A3718150102","2021",16.1015
"A3718150103","2020",16.2027
"A3718150103","2021",17.5697
"A3718150104","2020",16.6713
"A3718150105","2020",16.9522
"A3718150105","2021",18.0312
"A3818150201","2020",16.0551
"A3818150201","2021",17.2648
"A3818150202","2020",16.5828
"A3818150202","2021",17.5197
"A3819150203","2020",17.0648
"A3819150203","2021",18.4533
"A3819150204","2020",18.8824
"A3819150204","2021",21.1942
"A3819150205","2020",19.622
"A3819150205","2021",21.6066
"A3920150301","2020",20.7513
"A3920150301","2021",22.1454
"A3920150302","2020",22.3948
"A3920150302","2021",23.152
"A3920150303","2020",23.0298
"A3920150303","2021",25.467
"A3920150304","2020",25.2923
"A3920150304","2021",25.0442
"A3920150305","2020",25.712
"A3920150305","2021",27.4546
"A4020150401","2020",25.0815
"A4020150401","2021",26.9302
"A4020150402","2020",24.7483
"A4020150402","2021",28.45
"A4021150403","2021",29.9423
"A4021150404","2021",28.58
"A4021150405","2021",31.7029
"A4118110101","2020",154.0148
"A4118110102","2020",172.9702
"A4118110103","2020",155.1157
"A4118110104","2020",170.2798
"A4118110105","2020",179.2448
"A4118110105","2021",182.8932
"A4118110106","2020",164.6593
"A4118110106","2021",187.7533
"A4118110107","2020",182.4194
"A4118110107","2021",195.7721
"A4218110201","2020",182.2427
"A4218110201","2021",200.2732
"A4218110202","2020",214.0228
"A4218110202","2021",215.9341
"A4218110203","2020",206.9644
"A4218110203","2021",236.8486
"A4218110204","2020",225.6933
"A4218110204","2021",232.1038
"A4218110205","2020",241.4048
"A4218110205","2021",240.1403
"A4218110206","2020",224.1823
"A4218110206","2021",237.0183
"A4218110207","2020",219.3972
"A4218110207","2021",249.1303
"A4218110208","2020",217.1334
"A4218110208","2021",243.0414
"A4318110301","2020",250.7311
"A4318110301","2021",264.7
"A4319110302","2020",227.5638
"A4319110302","2021",267.2091
"A4319110303","2020",241.4135
"A4319110303","2021",261.2305
"A4319110304","2020",243.9734
"A4319110304","2021",267.0636
"A4319110305","2020",249.6999
"A4319110305","2021",277.8079
"A4319110306","2020",252.985
"A4319110306","2021",275.8194
"A4419110401","2020",258.2179
"A4419110401","2021",271.3471
"A4419110402","2020",270.5573
"A4419110402","2021",281.9504
"A4419110403","2020",267.8653
"A4419110403","2021",288.0503
"A4419110404","2020",284.881
"A4419110404","2021",286.8973
"A4419110405","2020",299.4172
"A4419110405","2021",291.2071
"A4419110406","2020",281.2664
"A4419110406","2021",287.5666
"A4419110407","2020",272.485
"A4419110407","2021",287.4934
"A4419110408","2020",298.6129
"A4419110408","2021",297.0277
"A4519110501","2020",301.467
"A4519110501","2021",311.8396
"A4519110502","2020",296.9288
"A4519110502","2021",300.3378
"A4519110503","2020",287.9833
"A4519110503","2021",306.9189
"A4520110504","2020",310.0885
"A4520110504","2021",341.7343
"A4520110505","2021",325.2156
"A4520110506","2021",325.2561
"A4520110507","2021",322.9426
"A4520110508","2021",327.093
"A4620110601","2021",347.2474
"A4620110602","2021",346.6886
"A4620110603","2021",366.0459
"A4620110604","2021",353.0982
"A4620110605","2021",349.2525
"A4620110606","2021",348.5375
"A4620110607","2021",347.803
"A4620110608","2021",363.063
"A4720110701","2021",367.7335
"A4720110702","2021",371.4027
"A4721110703","2021",361.6496
"A4721110704","2021",380.2153
"A4721110705","2021",377.4069
"A4918110101","2020",414.0527
"A4918110101","2021",419.1936
"A4918110102","2020",410.7825
"A4918110102","2021",451.4881
"A4918110103","2020",404.5499
"A4918110103","2021",428.1451
"A4918110104","2020",442.7747
"A4918110104","2021",460.2805
"A5018110201","2020",448.4344
"A5018110201","2021",451.7049
"A5018110202","2020",460.212
"A5018110202","2021",462.5568
"A5018110203","2020",429.914
"A5018110203","2021",452.142
"A5018110204","2020",423.8962
"A5018110204","2021",447.7337
"A5018110205","2020",445.7859
"A5018110205","2021",486.1763
"A5018110206","2020",419.1448
"A5018110206","2021",475.5544
"A5018110207","2020",434.3492
"A5018110207","2021",475.1904
"A5019110208","2020",422.5003
"A5019110208","2021",467.3047
"A5119110301","2020",447.8328
"A5119110301","2021",479.0441
"A5119110302","2020",429.4731
"A5119110302","2021",474.3132
"A5119110303","2020",435.3706
"A5119110303","2021",474.3154
"A5119110304","2020",450.3517
"A5119110305","2020",455.3407
"A5119110305","2021",483.3813
"A5119110306","2020",487.0934
"A5119110306","2021",486.4857
"A5119110307","2020",506.2689
"A5119110307","2021",516.458
"A5119110308","2020",502.7354
"A5119110308","2021",512.5811
"A5219110401","2020",502.3724
"A5219110401","2021",506.9644
"A5219110402","2020",456.1586
"A5219110402","2021",490.1582
"A5219110403","2020",473.8973
"A5219110403","2021",525.8042
"A5219110404","2020",477.9453
"A5219110405","2020",523.61
"A5219110405","2021",521.2603
"A5219110406","2020",492.9352
"A5219110406","2021",550.4597
"A5219110407","2021",545.5931
"A5220110408","2021",533.0397
"A5318110101","2020",564.6156
"A5318110102","2020",527.0097
"A5318110103","2020",514.3688
"A5318110103","2021",584.9722
"A5318110104","2020",521.9562
"A5318110104","2021",586.3824
"A5318110105","2020",545.0863
"A5318110105","2021",551.3303
"A5318110106","2020",520.4234
"A5318110106","2021",565.8747
"A5318110107","2020",581.6294
"A5318110107","2021",571.6489
"A5318110108","2020",555.7164
"A5318110108","2021",579.6609
"A5419110201","2020",556.8804
"A5419110201","2021",585.0003
"A5419110202","2020",551.0983
"A5419110202","2021",567.9271
"A5419110203","2020",554.6274
"A5419110203","2021",595.5711
"A5419110204","2020",573.7665
"A5419110204","2021",602.92
"A5419110205","2020",591.8599
"A5419110205","2021",570.7578
"A5419110206","2020",548.9012
"A5419110206","2021",601.6398
"A5419110207","2020",592.2589
"A5419110207","2021",599.2302
"A5419110208","2020",570.8426
"A5419110208","2021",608.407
"A5519110301","2020",564.7649
"A5519110301","2021",589.7411
"A5519110302","2020",578.0696
"A5519110302","2021",605.8642
"A5519110303","2020",526.3266
"A5519110303","2021",604.2721
"A5519110304","2020",612.6344
"A5519110304","2021",597.7704
"A5520110305","2020",579.8901
"A5520110305","2021",632.4885
"A5520110306","2020",601.3269
"A5520110306","2021",639.6816
"A5520110307","2020",576.5295
"A5520110307","2021",609.7926
"A5520110308","2020",576.4593
"A5520110308","2021",590.1159
"A5620110401","2020",614.8923
"A5620110401","2021",642.0698
"A5620110402","2020",638.0462
"A5620110402","2021",593.8297
"A5621110403","2020",625.8672
"A5621110403","2021",631.1855
"A5621110404","2020",561.6091
"A5621110404","2021",639.9614
"A5621110405","2020",579.0268
"A5621110405","2021",601.8173
"A5621110406","2020",592.9208
"A5621110406","2021",644.3777
"A5621110407","2020",613.2204
"A5621110407","2021",655.7782
"A5621110408","2020",560.9895
"A5621110408","2021",657.2525
"A5721110501","2020",581.7075
"A5721110501","2021",649.6929
"A5721110502","2021",627.9938
"A5721110503","2021",678.3035
"A5721110504","2021",655.8348
"A5721110505","2021",674.4272
"A5721110506","2021",720.546
"A5820110101","2021",681.3022
"A5820110102","2021",697.5541
"A5820110103","2021",735.1465
"A5820110104","2021",690.4971
"A5820110105","2021",709.3926
"A5820110106","2021",692.5242
"A5820110107","2021",737.6775
"A5821110108","2021",746.7388
"A6018110101","2020",713.9641
"A6018110101","2021",800.4577
"A6018110102","2020",748.8924
"A6018110102","2021",764.0542
"A6018110103","2020",746.8113
"A6018110103","2021",770.9789
"A6018110104","2020",719.9453
"A6018110104","2021",749.0987
"A6018110105","2020",729.7152
"A6018110105","2021",766.6472
"A6018110106","2020",684.4118
"A6018110106","2021",787.5874
"A6019110107","2020",730.059
"A6019110107","2021",785.9918
"A6019110108","2021",796.6606
"A6119110201","2021",824.0889
"A6119110202","2021",790.104
"A6119110203","2021",769.5635
"A6119110204","2021",807.2638
"A6120110205","2021",834.9812
"A6120110206","2021",810.6034
"A6218160101","2020",13.7011
"A6218160101","2021",13.5941
"A6218160102","2020",14.4286
"A6218160102","2021",15.2481
"A6219160103","2020",15.5372
"A6219160103","2021",16.3003
"A6319160201","2020",16.4988
"A6319160201","2021",17.359
"A6319160202","2020",16.8905
"A6319160202","2021",18.5733
"A6319160203","2020",17.7642
"A6319160203","2021",19.3433
"A6419160301","2020",18.6079
"A6419160301","2021",17.8043
"A6419160302","2020",17.4042
"A6419160302","2021",19.6723
"A6419160303","2020",18.3282
"A6419160303","2021",19.3342
"A6519160401","2020",18.7171
"A6519160401","2021",20.2889
"A6520160402","2021",20.165
"A6520160403","2021",21.283
"A6620160501","2021",22.853
"A6720160103","2020",4.3832
"A6720160103","2021",4.4411
"A6818160201","2020",2.9691
"A6818160201","2021",2.999
"A6818160202","2021",3.8531
"A6819160203","2021",5.0984
"A7118160101","2020",26.15
"A7118160101","2021",29.6712
"A7119160102","2020",28.8886
"A7119160102","2021",29.9264
"A7119160103","2020",29.1765
"A7119160103","2021",28.7736
"A7219160201","2020",28.414
"A7219160201","2021",32.9575
"A7220160202","2020",35.3708
"A7220160202","2021",35.2053
"A7220160203","2020",37.9161
"A7220160203","2021",37.4784
"A7321160301","2021",40.7954
"A7321160302","2021",43.9446
"A7321160303","2021",42.8483
