"product_code","cost_year","manufacturing_cost"
"A0118150101","2020",5.0207
"A0118150101","2021",5.5172
"A0118150102","2020",5.718
"A0118150102","2021",6.2835
"A0118150103","2020",6.3264
"A0118150103","2021",6.59
"A0118150104","2020",6.4789
"A0118150104","2021",6.8199
"A0219150201","2020",6.4858
"A0219150201","2021",7.0498
"A0219150202","2020",7.059
"A0219150202","2021",7.2031
"A0220150203","2020",7.0621
"A0220150203","2021",7.3563
"A0320150301","2020",6.8414
"A0320150301","2021",7.3563
"A0321150302","2021",7.8161
"A0321150303","2021",8.4291
"A0418150101","2020",5.0759
"A0418150102","2020",5.2169
"A0418150103","2020",5.3448
"A0418150103","2021",5.7471
"A0418150104","2020",5.649
"A0418150104","2021",5.8238
"A0418150105","2020",5.3579
"A0418150105","2021",5.8238
"A0418150106","2020",5.2996
"A0418150106","2021",5.8238
"A0418150107","2020",6.0077
"A0418150108","2020",5.9923
"A0519150201","2020",6.3264
"A0519150201","2021",6.59
"A0519150202","2020",7.3594
"A0519150202","2021",7.5096
"A0519150203","2020",7.1126
"A0519150203","2021",7.8161
"A0519150204","2020",7.7241
"A0519150204","2021",8.046
"A0519150205","2020",8.3379
"A0519150205","2021",8.9655
"A0519150206","2020",8.2069
"A0519150206","2021",9.1188
"A0519150207","2020",8.5303
"A0519150207","2021",9.272
"A0519150208","2020",8.6008
"A0519150208","2021",9.3487
"A0619150301","2020",8.9318
"A0619150301","2021",9.5019
"A0619150302","2020",9.364
"A0619150302","2021",9.9617
"A0620150303","2020",10.3318
"A0620150303","2021",10.6513
"A0620150304","2020",10.3724
"A0620150304","2021",10.8046
"A0620150305","2020",10.0812
"A0620150305","2021",10.9579
"A0620150306","2020",10.4828
"A0620150306","2021",11.0345
"A0621150307","2020",10.7402
"A0621150307","2021",11.1877
"A0621150308","2020",11.0008
"A0621150308","2021",11.341
"A0721150401","2020",10.8766
"A0721150401","2021",11.5709
"A0721150402","2020",11.6069
"A0721150402","2021",11.7241
"A0721150403","2021",11.954
"A0721150404","2021",12.1073
"A0821150501","2021",12.4138
"A0821150502","2021",12.7203
"A0821150503","2021",12.8736
"A0821150504","2021",12.8736
"A0921150601","2021",13.3333
"A1018150101","2020",31.5188
"A1018150101","2021",34.636
"A1018150102","2020",34.9195
"A1018150102","2021",35.6322
"A1018150103","2020",34.869
"A1018150103","2021",36.3218
"A1118150201","2020",36.1594
"A1118150201","2021",38.4674
"A1118150202","2020",38.8743
"A1118150202","2021",40.0766
"A1119150203","2020",37.7946
"A1119150203","2021",41.5326
"A1219150301","2020",37.8644
"A1219150301","2021",41.6092
"A1219150302","2020",40.2391
"A1219150302","2021",41.9157
"A1219150303","2020",40.8812
"A1219150303","2021",42.1456
"A1319150401","2020",43.0368
"A1319150401","2021",44.3678
"A1320150402","2020",45.0621
"A1320150402","2021",45.5172
"A1320150403","2020",42.5103
"A1320150403","2021",46.2069
"A1420150501","2020",43.9908
"A1420150501","2021",47.8161
"A1420150502","2021",50.728
"A1421150503","2021",54.023
"A1521150601","2021",54.2529
"A1521150602","2021",57.2414
"A1618150101","2020",5.5908
"A1618150101","2021",5.8238
"A1618150102","2020",5.4874
"A1618150102","2021",5.9004
"A1618150103","2020",6.0575
"A1618150103","2021",6.5134
"A1618150104","2020",6.6
"A1618150104","2021",6.6667
"A1718150201","2020",6.541
"A1718150201","2021",6.7433
"A1718150202","2020",6.9088
"A1718150202","2021",7.0498
"A1718150203","2020",7.577
"A1718150203","2021",7.8927
"A1718150204","2020",8.4966
"A1718150204","2021",8.5824
"A1819150301","2020",8.4107
"A1819150301","2021",8.5824
"A1819150302","2020",9.0996
"A1819150302","2021",9.5785
"A1819150303","2020",9.0506
"A1819150303","2021",9.7318
"A1819150304","2020",8.8276
"A1819150304","2021",9.8084
"A1919150401","2021",9.8084
"A1919150402","2021",10.1149
"A1919150403","2021",10.5747
"A1920150404","2021",11.4176
"A2020150501","2021",11.954
"A2020150502","2021",11.954
"A2021150503","2021",13.1801
"A2118150101","2020",0.892
"A2118150101","2021",0.9195
"A2118150102","2020",1.046
"A2118150102","2021",1.1494
"A2118150103","2020",1.2506
"A2118150103","2021",1.3027
"A2118150104","2020",1.3249
"A2118150104","2021",1.4559
"A2118150105","2020",1.4123
"A2118150105","2021",1.4559
"A2118150106","2020",1.5448
"A2118150106","2021",1.6092
"A2218150201","2020",1.5847
"A2218150201","2021",1.6858
"A2218150202","2020",1.7655
"A2218150202","2021",1.8391
"A2219150203","2020",2.0483
"A2219150203","2021",2.069
"A2219150204","2020",2.2
"A2219150204","2021",2.2222
"A2219150205","2020",2.1379
"A2219150205","2021",2.3755
"A2219150206","2020",2.4276
"A2219150206","2021",2.4521
"A2319150301","2020",2.4751
"A2319150301","2021",2.6054
"A2319150302","2020",2.449
"A2319150302","2021",2.6054
"A2319150303","2020",2.7034
"A2319150303","2021",2.7586
"A2319150304","2020",3.0897
"A2319150304","2021",3.2184
"A2319150305","2020",2.9609
"A2319150305","2021",3.2184
"A2319150306","2020",3.1218
"A2319150306","2021",3.2184
"A2419150401","2020",3.1303
"A2419150401","2021",3.295
"A2419150402","2020",2.9985
"A2419150402","2021",3.295
"A2419150403","2020",3.1356
"A2419150403","2021",3.3716
"A2419150404","2020",3.2414
"A2419150404","2021",3.6015
"A2419150405","2020",3.531
"A2419150405","2021",3.6782
"A2420150406","2020",3.567
"A2420150406","2021",3.7548
"A2520150501","2021",3.7548
"A2520150502","2021",4.2146
"A2520150503","2021",4.2912
"A2520150504","2021",4.2912
"A2520150505","2021",4.3678
"A2520150506","2021",4.4444
"A2620150601","2021",4.5211
"A2620150602","2021",4.5977
"A2620150603","2021",4.6743
"A2620150604","2021",4.9042
"A2620150605","2021",4.9808
"A2620150606","2021",5.0575
"A2720150701","2021",5.1341
"A2721150702","2021",5.1341
"A2721150703","2021",5.2874
"A2721150704","2021",5.9004
"A2721150705","2021",5.977
"A2721150706","2021",6.1303
"A2821150801","2021",6.2069
"A2918150101","2020",1.9241
"A2918150101","2021",2.069
"A2918150102","2020",2.2299
"A2918150102","2021",2.2989
"A2918150103","2020",2.1617
"A2918150103","2021",2.3755
"A2918150104","2020",2.731
"A2918150104","2021",2.7586
"A2918150105","2020",2.6789
"A2918150105","2021",2.9119
"A2918150106","2020",2.9533
"A2918150106","2021",3.1418
"A3018150201","2020",3.1356
"A3018150201","2021",3.3716
"A3018150202","2020",3.1019
"A3018150202","2021",3.3716
"A3018150203","2020",3.5655
"A3018150203","2021",3.6015
"A3019150204","2020",3.2774
"A3019150204","2021",3.6015
"A3019150205","2020",3.2774
"A3019150205","2021",3.6015
"A3019150206","2020",3.8582
"A3019150206","2021",4.0613
"A3119150301","2020",3.9195
"A3119150301","2021",4.2146
"A3119150302","2020",4.0889
"A3119150302","2021",4.4444
"A3119150303","2020",4.3471
"A3119150303","2021",4.6743
"A3120150304","2020",4.3931
"A3120150304","2021",4.8276
"A3120150305","2020",4.6322
"A3120150305","2021",4.9808
"A3120150306","2020",5.0207
"A3120150306","2021",5.5172
"A3220150401","2020",5.0345
"A3220150401","2021",5.5939
"A3220150402","2020",5.6322
"A3220150402","2021",5.7471
"A3220150403","2020",5.6897
"A3220150403","2021",5.7471
"A3220150404","2020",5.6322
"A3220150404","2021",5.7471
"A3220150405","2020",5.649
"A3220150405","2021",5.8238
"A3220150406","2020",5.7234
"A3220150406","2021",5.9004
"A3320150501","2020",5.6299
"A3320150501","2021",6.0536
"A3320150502","2020",6.0828
"A3320150502","2021",6.2069
"A3320150503","2020",5.8513
"A3320150503","2021",6.3601
"A3320150504","2020",6.1946
"A3320150504","2021",6.59
"A3320150505","2021",6.7433
"A3320150506","2021",7.3563
"A3420150601","2021",7.433
"A3420150602","2021",7.433
"A3421150603","2021",7.7395
"A3421150604","2021",8.2759
"A3421150605","2021",8.5824
"A3421150606","2021",8.659
"A3521150701","2021",8.7356
"A3521150702","2021",8.8889
"A3521150703","2021",9.3487
"A3521150704","2021",10.1916
"A3521150705","2021",10.1916
"A3718150101","2020",4.6345
"A3718150101","2021",4.8276
"A3718150102","2020",4.931
"A3718150102","2021",4.9808
"A3718150103","2020",4.7747
"A3718150103","2021",5.1341
"A3718150104","2020",4.9172
"A3718150105","2020",5.023
"A3718150105","2021",5.2874
"A3818150201","2020",4.9349
"A3818150201","2021",5.364
"A3818150202","2020",5.1686
"A3818150202","2021",5.4406
"A3819150203","2020",5.2736
"A3819150203","2021",5.6705
"A3819150204","2020",5.8575
"A3819150204","2021",6.4368
"A3819150205","2020",6.0
"A3819150205","2021",6.6667
"A3920150301","2020",6.2743
"A3920150301","2021",6.8199
"A3920150302","2020",6.4828
"A3920150302","2021",6.8966
"A3920150303","2020",7.0613
"A3920150303","2021",7.2797
"A3920150304","2020",7.4345
"A3920150304","2021",7.5096
"A3920150305","2020",7.8713
"A3920150305","2021",8.1992
"A4020150401","2020",7.7793
"A4020150401","2021",8.2759
"A4020150402","2020",7.6138
"A4020150402","2021",8.2759
"A4021150403","2021",8.5824
"A4021150404","2021",8.7356
"A4021150405","2021",9.5019
"A4118110101","2020",46.2322
"A4118110102","2020",50.0966
"A4118110103","2020",47.3103
"A4118110104","2020",52.0092
"A4118110105","2020",54.469
"A4118110105","2021",55.0192
"A4118110106","2020",51.2521
"A4118110106","2021",55.7088
"A4118110107","2020",52.5931
"A4118110107","2021",56.5517
"A4218110201","2020",53.7333
"A4218110201","2021",57.7778
"A4218110202","2020",61.3701
"A4218110202","2021",65.2874
"A4218110203","2020",62.7586
"A4218110203","2021",68.9655
"A4218110204","2020",68.1601
"A4218110204","2021",70.2682
"A4218110205","2020",69.3701
"A4218110205","2021",72.2605
"A4218110206","2020",68.5563
"A4218110206","2021",73.7165
"A4218110207","2020",67.7793
"A4218110207","2021",74.4828
"A4218110208","2020",67.1724
"A4218110208","2021",74.636
"A4318110301","2020",72.1418
"A4318110301","2021",75.9387
"A4319110302","2020",70.1379
"A4319110302","2021",77.931
"A4319110303","2020",71.0345
"A4319110303","2021",78.9272
"A4319110304","2020",71.2414
"A4319110304","2021",79.1571
"A4319110305","2020",75.2552
"A4319110305","2021",80.9195
"A4319110306","2020",74.069
"A4319110306","2021",82.2989
"A4419110401","2020",76.5655
"A4419110401","2021",84.1379
"A4419110402","2020",77.9709
"A4419110402","2021",84.751
"A4419110403","2020",82.8031
"A4419110403","2021",85.364
"A4419110404","2020",83.5464
"A4419110404","2021",86.1303
"A4419110405","2020",86.6345
"A4419110405","2021",87.5096
"A4419110406","2020",81.5663
"A4419110406","2021",88.659
"A4419110407","2020",84.3479
"A4419110407","2021",89.7318
"A4419110408","2020",88.1287
"A4419110408","2021",91.8008
"A4519110501","2020",87.6475
"A4519110501","2021",92.2605
"A4519110502","2020",89.7471
"A4519110502","2021",93.4866
"A4519110503","2020",87.4881
"A4519110503","2021",95.0958
"A4520110504","2020",95.5586
"A4520110504","2021",99.5402
"A4520110505","2021",100.3065
"A4520110506","2021",100.3065
"A4520110507","2021",100.5364
"A4520110508","2021",100.613
"A4620110601","2021",103.8314
"A4620110602","2021",104.0613
"A4620110603","2021",104.9808
"A4620110604","2021",106.6667
"A4620110605","2021",106.8199
"A4620110606","2021",107.6628
"A4620110607","2021",107.9693
"A4620110608","2021",108.046
"A4720110701","2021",108.2759
"A4720110702","2021",109.8851
"A4721110703","2021",110.6513
"A4721110704","2021",112.1073
"A4721110705","2021",113.0268
"A4918110101","2020",121.5877
"A4918110101","2021",129.3487
"A4918110102","2020",124.1188
"A4918110102","2021",130.6513
"A4918110103","2020",120.5517
"A4918110103","2021",131.0345
"A4918110104","2020",127.1034
"A4918110104","2021",133.7931
"A5018110201","2020",131.1172
"A5018110201","2021",135.1724
"A5018110202","2020",133.9724
"A5018110202","2021",135.3257
"A5018110203","2020",127.6383
"A5018110203","2021",135.7854
"A5018110204","2020",132.3065
"A5018110204","2021",136.3985
"A5018110205","2020",138.7517
"A5018110205","2021",140.1533
"A5018110206","2020",127.7487
"A5018110206","2021",140.3831
"A5018110207","2020",133.5096
"A5018110207","2021",140.5364
"A5019110208","2020",127.2414
"A5019110208","2021",141.3793
"A5119110301","2020",137.5632
"A5119110301","2021",143.295
"A5119110302","2020",132.6299
"A5119110302","2021",145.7471
"A5119110303","2020",133.118
"A5119110303","2021",146.2835
"A5119110304","2020",136.4713
"A5119110305","2020",136.8368
"A5119110305","2021",148.7356
"A5119110306","2020",140.1716
"A5119110306","2021",149.1188
"A5119110307","2020",145.1655
"A5119110307","2021",149.6552
"A5119110308","2020",151.1172
"A5119110308","2021",152.6437
"A5219110401","2020",151.269
"A5219110401","2021",152.7969
"A5219110402","2020",139.1847
"A5219110402","2021",152.9502
"A5219110403","2020",144.4935
"A5219110403","2021",153.7165
"A5219110404","2020",147.8506
"A5219110405","2020",153.0452
"A5219110405","2021",156.1686
"A5219110406","2020",149.7433
"A5219110406","2021",157.6245
"A5219110407","2021",157.8544
"A5220110408","2021",164.2912
"A5318110101","2020",163.7479
"A5318110102","2020",159.0437
"A5318110103","2020",155.9418
"A5318110103","2021",169.5019
"A5318110104","2020",159.692
"A5318110104","2021",169.8851
"A5318110105","2020",161.4636
"A5318110105","2021",169.9617
"A5318110106","2020",155.7111
"A5318110106","2021",171.1111
"A5318110107","2020",167.9847
"A5318110107","2021",173.1801
"A5318110108","2020",169.7916
"A5318110108","2021",173.2567
"A5419110201","2020",165.1034
"A5419110201","2021",173.7931
"A5419110202","2020",167.7241
"A5419110202","2021",174.7126
"A5419110203","2020",165.5985
"A5419110203","2021",176.1686
"A5419110204","2020",171.0322
"A5419110204","2021",176.3218
"A5419110205","2020",170.5931
"A5419110205","2021",177.7011
"A5419110206","2020",160.6897
"A5419110206","2021",178.5441
"A5419110207","2020",173.1877
"A5419110207","2021",178.5441
"A5419110208","2020",166.6161
"A5419110208","2021",179.1571
"A5519110301","2020",175.046
"A5519110301","2021",180.4598
"A5519110302","2020",171.4368
"A5519110302","2021",180.4598
"A5519110303","2020",162.6897
"A5519110303","2021",180.7663
"A5519110304","2020",179.5655
"A5519110304","2021",181.3793
"A5520110305","2020",178.9533
"A5520110305","2021",182.6054
"A5520110306","2020",173.7663
"A5520110306","2021",182.9119
"A5520110307","2020",166.5195
"A5520110307","2021",182.9885
"A5520110308","2020",173.8391
"A5520110308","2021",182.9885
"A5620110401","2020",179.8544
"A5620110401","2021",183.5249
"A5620110402","2020",183.0552
"A5620110402","2021",184.9042
"A5621110403","2020",183.3586
"A5621110403","2021",185.2107
"A5621110404","2020",166.6897
"A5621110404","2021",185.2107
"A5621110405","2020",177.1149
"A5621110405","2021",186.4368
"A5621110406","2020",174.1701
"A5621110406","2021",187.2797
"A5621110407","2020",186.3931
"A5621110407","2021",188.2759
"A5621110408","2020",173.3533
"A5621110408","2021",190.4981
"A5721110501","2020",180.6529
"A5721110501","2021",192.1839
"A5721110502","2021",192.8736
"A5721110503","2021",194.3295
"A5721110504","2021",195.3257
"A5721110505","2021",202.7586
"A5721110506","2021",207.2797
"A5820110101","2021",212.4904
"A5820110102","2021",212.7203
"A5820110103","2021",213.2567
"A5820110104","2021",213.3333
"A5820110105","2021",214.7893
"A5820110106","2021",215.8621
"A5820110107","2021",218.2376
"A5821110108","2021",219.1571
"A6018110101","2020",219.8805
"A6018110101","2021",229.0421
"A6018110102","2020",215.3716
"A6018110102","2021",229.1188
"A6018110103","2020",224.8368
"A6018110103","2021",229.4253
"A6018110104","2020",219.7739
"A6018110104","2021",231.341
"A6018110105","2020",214.3142
"A6018110105","2021",232.9502
"A6018110106","2020",210.1379
"A6018110106","2021",233.4866
"A6019110107","2020",210.2759
"A6019110107","2021",233.6399
"A6019110108","2021",234.1762
"A6119110201","2021",237.318
"A6119110202","2021",238.2376
"A6119110203","2021",238.6207
"A6119110204","2021",238.7739
"A6120110205","2021",240.3065
"A6120110206","2021",240.5364
"A6218160101","2020",4.0966
"A6218160101","2021",4.1379
"A6218160102","2020",4.4759
"A6218160102","2021",4.5211
"A6219160103","2020",4.8552
"A6219160103","2021",4.9042
"A6319160201","2020",5.0544
"A6319160201","2021",5.2107
"A6319160202","2020",5.1494
"A6319160202","2021",5.364
"A6319160203","2020",5.5172
"A6319160203","2021",5.7471
"A6419160301","2020",5.3862
"A6419160301","2021",5.4406
"A6419160302","2020",5.4023
"A6419160302","2021",5.7471
"A6419160303","2020",5.4874
"A6419160303","2021",5.9004
"A6519160401","2020",5.5464
"A6519160401","2021",5.9004
"A6520160402","2021",6.0536
"A6520160403","2021",6.2835
"A6620160501","2021",6.59
"A6720160103","2020",1.3655
"A6720160103","2021",1.3793
"A6818160201","2020",0.9011
"A6818160201","2021",0.9195
"A6818160202","2021",1.1494
"A6819160203","2021",1.5326
"A7118160101","2020",8.1533
"A7118160101","2021",8.5824
"A7119160102","2020",8.7241
"A7119160102","2021",8.8123
"A7119160103","2020",8.3379
"A7119160103","2021",8.9655
"A7219160201","2020",8.5517
"A7219160201","2021",9.5019
"A7220160202","2020",10.1831
"A7220160202","2021",10.4981
"A7220160203","2020",11.3034
"A7220160203","2021",11.4176
"A7321160301","2021",12.4138
"A7321160302","2021",12.567
"A7321160303","2021",12.9502
