"customer_code","fiscal_year","pre_invoice_discount_pct"
70002017,"2020",0.0735
70002017,"2021",0.0703
70002018,"2020",0.2255
70002018,"2021",0.2061
70003181,"2020",0.0531
70003181,"2021",0.0974
70003182,"2020",0.1823
70003182,"2021",0.2065
70004069,"2020",0.0576
70004069,"2021",0.1068
70004070,"2020",0.2054
70004070,"2021",0.2612
70005163,"2020",0.2578
70005163,"2021",0.2471
70006157,"2020",0.0765
70006157,"2021",0.0858
70006158,"2020",0.2391
70006158,"2021",0.245
70007198,"2020",0.0703
70007198,"2021",0.0736
70007199,"2020",0.2123
70007199,"2021",0.2105
70008169,"2020",0.0975
70008169,"2021",0.0793
70008170,"2020",0.2207
70008170,"2021",0.1817
70009133,"2020",0.1086
70009133,"2021",0.0961
70009134,"2020",0.2029
70009134,"2021",0.2899
70010047,"2020",0.0804
70010047,"2021",0.0552
70010048,"2020",0.2129
70010048,"2021",0.2205
70011193,"2020",0.0643
70011193,"2021",0.1056
70011194,"2020",0.1917
70011194,"2021",0.1859
70012042,"2020",0.0987
70012042,"2021",0.0936
70012043,"2020",0.1973
70012043,"2021",0.2287
70013125,"2020",0.083
70013125,"2021",0.1041
70013126,"2020",0.2396
70013126,"2021",0.2873
70014142,"2020",0.0577
70014142,"2021",0.0962
70014143,"2020",0.1984
70014143,"2021",0.2674
70015151,"2020",0.086
70015151,"2021",0.0679
70015152,"2020",0.1805
70015152,"2021",0.2488
70016177,"2020",0.1003
70016177,"2021",0.1094
70016178,"2020",0.3047
70016178,"2021",0.2623
70017060,"2020",0.1994
70017060,"2021",0.1817
70018115,"2020",0.288
70018115,"2021",0.2219
70019204,"2020",0.1867
70019204,"2021",0.2561
70020104,"2020",0.2574
70020104,"2021",0.2826
70021096,"2020",0.3051
70021096,"2021",0.2865
70022084,"2020",0.0728
70022084,"2021",0.0849
70022085,"2020",0.3059
70022085,"2021",0.1876
70023031,"2020",0.0548
70023031,"2021",0.0809
70023032,"2020",0.3066
70023032,"2021",0.2779
70026206,"2020",0.2328
70026206,"2021",0.3043
70027208,"2020",0.2423
70027208,"2021",0.2791
80001019,"2020",0.2151
80001019,"2021",0.2485
80006154,"2020",0.2346
80006154,"2021",0.2103
80006155,"2020",0.2862
80006155,"2021",0.3091
80007195,"2020",0.239
80007195,"2021",0.2617
80007196,"2020",0.268
80007196,"2021",0.2819
90001020,"2020",0.2504
90001020,"2021",0.1965
90001021,"2020",0.1962
90001021,"2021",0.3095
90002001,"2020",0.1894
90002001,"2021",0.2119
90002002,"2020",0.186
90002002,"2021",0.3025
90002003,"2020",0.2611
90002003,"2021",0.3028
90002004,"2020",0.287
90002004,"2021",0.2753
90002005,"2020",0.235
90002005,"2021",0.2702
90002006,"2020",0.2398
90002006,"2021",0.3038
90002007,"2020",0.262
90002007,"2021",0.2508
90002008,"2020",0.2
90002008,"2021",0.2207
90002009,"2020",0.2826
90002009,"2021",0.3083
90002010,"2020",0.2076
90002010,"2021",0.2259
90002011,"2020",0.2656
90002011,"2021",0.2793
90002012,"2020",0.2572
90002012,"2021",0.1957
90002013,"2020",0.2885
90002013,"2021",0.2253
90002014,"2020",0.2654
90002014,"2021",0.2057
90002015,"2020",0.2227
90002015,"2021",0.2004
90002016,"2020",0.1876
90002016,"2021",0.2933
90003179,"2020",0.24
90003179,"2021",0.2455
90003180,"2020",0.2445
90003180,"2021",0.2342
90004061,"2020",0.2354
90004061,"2021",0.2788
90004062,"2020",0.2867
90004062,"2021",0.2863
90004063,"2020",0.2946
90004063,"2021",0.2676
90004064,"2020",0.2174
90004064,"2021",0.2235
90004065,"2020",0.231
90004065,"2021",0.2967
90004066,"2020",0.2728
90004066,"2021",0.183
90004067,"2020",0.2905
90004067,"2021",0.2672
90004068,"2020",0.2453
90004068,"2021",0.1977
90005159,"2020",0.2631
90005159,"2021",0.2976
90005160,"2020",0.2892
90005160,"2021",0.2314
90005161,"2020",0.2329
90005161,"2021",0.1958
90005162,"2020",0.1807
90005162,"2021",0.1969
90006153,"2020",0.191
90006153,"2021",0.1864
90006156,"2020",0.2136
90006156,"2021",0.2195
90007197,"2020",0.2182
90007197,"2021",0.2009
90008164,"2020",0.2716
90008164,"2021",0.2499
90008165,"2020",0.2609
90008165,"2021",0.2136
90008166,"2020",0.1987
90008166,"2021",0.3063
90008167,"2020",0.2971
90008167,"2021",0.2339
90008168,"2020",0.3018
90008168,"2021",0.2511
90009127,"2020",0.287
90009127,"2021",0.2964
90009128,"2020",0.2197
90009128,"2021",0.1818
90009129,"2020",0.2386
90009129,"2021",0.1809
90009130,"2020",0.2346
90009130,"2021",0.18
90009131,"2020",0.2757
90009131,"2021",0.3015
90009132,"2020",0.3008
90009132,"2021",0.2566
90010044,"2020",0.1851
90010044,"2021",0.2594
90010045,"2020",0.2558
90010045,"2021",0.2883
90010046,"2020",0.1859
90010046,"2021",0.3034
90011185,"2020",0.1927
90011185,"2021",0.2613
90011186,"2020",0.2906
90011186,"2021",0.2401
90011187,"2020",0.2644
90011187,"2021",0.2899
90011188,"2020",0.2404
90011188,"2021",0.2996
90011189,"2020",0.2054
90011189,"2021",0.2933
90011190,"2020",0.1928
90011190,"2021",0.1829
90011191,"2020",0.2508
90011191,"2021",0.1925
90011192,"2020",0.2167
90011192,"2021",0.2439
90012033,"2020",0.3015
90012033,"2021",0.2638
90012034,"2020",0.2943
90012034,"2021",0.2195
90012035,"2020",0.3067
90012035,"2021",0.3045
90012036,"2020",0.1965
90012036,"2021",0.2421
90012037,"2020",0.3023
90012037,"2021",0.2129
90012038,"2020",0.2586
90012038,"2021",0.2785
90012039,"2020",0.2777
90012039,"2021",0.2819
90012040,"2020",0.2709
90012040,"2021",0.1814
90012041,"2020",0.2233
90012041,"2021",0.2048
90013116,"2020",0.3014
90013116,"2021",0.225
90013117,"2020",0.214
90013117,"2021",0.2411
90013118,"2020",0.2532
90013118,"2021",0.2111
90013119,"2020",0.2994
90013119,"2021",0.2591
90013120,"2020",0.1935
90013120,"2021",0.236
90013121,"2020",0.2047
90013121,"2021",0.2093
90013122,"2020",0.2475
90013122,"2021",0.3093
90013123,"2020",0.2625
90013123,"2021",0.2252
90013124,"2020",0.213
90013124,"2021",0.2046
90014135,"2020",0.1938
90014135,"2021",0.3042
90014136,"2020",0.293
90014136,"2021",0.2034
90014137,"2020",0.2622
90014137,"2021",0.2825
90014138,"2020",0.2282
90014138,"2021",0.2979
90014139,"2020",0.1991
90014139,"2021",0.2892
90014140,"2020",0.2561
90014140,"2021",0.2733
90014141,"2020",0.2657
90014141,"2021",0.3074
90015144,"2020",0.2142
90015144,"2021",0.2594
90015145,"2020",0.2931
90015145,"2021",0.266
90015146,"2020",0.2561
90015146,"2021",0.1805
90015147,"2020",0.2333
90015147,"2021",0.1965
90015148,"2020",0.222
90015148,"2021",0.3076
90015149,"2020",0.27
90015149,"2021",0.2671
90015150,"2020",0.2237
90015150,"2021",0.2316
90016171,"2020",0.2743
90016171,"2021",0.2974
90016172,"2020",0.2644
90016172,"2021",0.2653
90016173,"2020",0.2462
90016173,"2021",0.2623
90016174,"2020",0.1963
90016174,"2021",0.2556
90016175,"2020",0.2735
90016175,"2021",0.213
90016176,"2020",0.2712
90016176,"2021",0.2143
90017049,"2020",0.2946
90017049,"2021",0.2938
90017050,"2020",0.2716
90017050,"2021",0.2505
90017051,"2020",0.3027
90017051,"2021",0.2753
90017052,"2020",0.2439
90017052,"2021",0.2371
90017053,"2020",0.1871
90017053,"2021",0.2431
90017054,"2020",0.2844
90017054,"2021",0.2496
90017055,"2020",0.2449
90017055,"2021",0.1983
90017056,"2020",0.2601
90017056,"2021",0.2692
90017057,"2020",0.187
90017057,"2021",0.1844
90017058,"2020",0.2742
90017058,"2021",0.2384
90017059,"2020",0.2033
90017059,"2021",0.2308
90018105,"2020",0.1872
90018105,"2021",0.2963
90018106,"2020",0.2961
90018106,"2021",0.2763
90018107,"2020",0.2175
90018107,"2021",0.2082
90018108,"2020",0.2792
90018108,"2021",0.2363
90018109,"2020",0.1892
90018109,"2021",0.2375
90018110,"2020",0.2318
90018110,"2021",0.2053
90018111,"2020",0.2673
90018111,"2021",0.2627
90018112,"2020",0.2826
90018112,"2021",0.2949
90018113,"2020",0.1873
90018113,"2021",0.196
90018114,"2020",0.2181
90018114,"2021",0.2259
90019200,"2020",0.1984
90019200,"2021",0.2261
90019201,"2020",0.1818
90019201,"2021",0.3015
90019202,"2020",0.1988
90019202,"2021",0.2054
90019203,"2020",0.3087
90019203,"2021",0.2007
90020097,"2020",0.2251
90020097,"2021",0.2522
90020098,"2020",0.2342
90020098,"2021",0.3015
90020099,"2020",0.2092
90020099,"2021",0.3091
90020100,"2020",0.2692
90020100,"2021",0.2909
90020101,"2020",0.2671
90020101,"2021",0.193
90020102,"2020",0.2997
90020102,"2021",0.2054
90020103,"2020",0.2471
90020103,"2021",0.1938
90021086,"2020",0.2923
90021086,"2021",0.1815
90021087,"2020",0.2196
90021087,"2021",0.2444
90021088,"2020",0.3072
90021088,"2021",0.1931
90021089,"2020",0.2089
90021089,"2021",0.2943
90021090,"2020",0.3091
90021090,"2021",0.2216
90021091,"2020",0.3041
90021091,"2021",0.2501
90021092,"2020",0.2907
90021092,"2021",0.2329
90021093,"2020",0.2516
90021093,"2021",0.2845
90021094,"2020",0.2072
90021094,"2021",0.2344
90021095,"2020",0.2199
90021095,"2021",0.2848
90022071,"2020",0.2674
90022071,"2021",0.2257
90022072,"2020",0.2629
90022072,"2021",0.1853
90022073,"2020",0.1966
90022073,"2021",0.1953
90022074,"2020",0.2051
90022074,"2021",0.2408
90022075,"2020",0.2293
90022075,"2021",0.2375
90022076,"2020",0.288
90022076,"2021",0.2882
90022077,"2020",0.2448
90022077,"2021",0.3028
90022078,"2020",0.2358
90022078,"2021",0.2162
90022079,"2020",0.2584
90022079,"2021",0.2075
90022080,"2020",0.2041
90022080,"2021",0.3059
90022081,"2020",0.2112
90022081,"2021",0.2902
90022082,"2020",0.2478
90022082,"2021",0.2128
90022083,"2020",0.2734
90022083,"2021",0.1927
90023022,"2020",0.3063
90023022,"2021",0.2556
90023023,"2020",0.2292
90023023,"2021",0.2652
90023024,"2020",0.215
90023024,"2021",0.2289
90023025,"2020",0.2824
90023025,"2021",0.2571
90023026,"2020",0.308
90023026,"2021",0.2918
90023027,"2020",0.2505
90023027,"2021",0.2554
90023028,"2020",0.2949
90023028,"2021",0.2598
90023029,"2020",0.3008
90023029,"2021",0.2506
90023030,"2020",0.3048
90023030,"2021",0.2186
90024183,"2020",0.2996
90024183,"2021",0.2251
90024184,"2020",0.2386
90024184,"2021",0.1839
90025209,"2020",0.2657
90025209,"2021",0.2386
90026205,"2020",0.3051
90026205,"2021",0.2554
90027207,"2020",0.2386
90027207,"2021",0.2772
